frame,frame_checksum,normal_unique_teps,normal_scoring_calls,normal_bound_checks,normal_pdb_lookups,normal_bound_cycles,compact_unique_teps,compact_scoring_calls,compact_bound_checks,compact_table_lookups,compact_allocations,cycles_p1,cycles_p2,cycles_p4,cycles_p8,cycles_p16,word_mismatch,metric_mismatch,tie_mismatch
112,13716164394356899035,447308,448383,41824,507286,78044,372060,373135,41824,3120663,38154,341144,224218,165998,137172,123832,0,0,0
113,2401420817805416216,298422,299497,40361,445497,68538,196079,197154,40327,3153180,37742,321189,209413,154211,126088,112896,0,0,0
114,17693655737688215379,499614,500689,42080,498836,76744,463437,464512,42080,3189940,38182,333061,219800,162754,134747,121595,0,0,0
115,10293853982205095098,108349,109424,28093,169377,26058,55065,56140,25755,2470923,25401,238106,142380,93789,70158,58214,0,0,0
116,11797299450381563433,195579,196654,37311,337610,51940,99087,100162,36175,2879661,37000,291375,185776,132955,106964,94329,0,0,0
117,3019307246554859894,495929,497004,42240,511472,78688,451931,453006,42240,3138239,38188,333183,220982,164529,136779,124012,0,0,0
118,3945648719323444312,266043,267118,39953,437229,67266,151867,152942,39917,3119549,37594,326132,210956,153836,125358,111941,0,0,0
119,3571740835977137612,236687,237762,39207,404417,62218,140317,141392,38943,3049477,37813,312485,201969,146685,119430,106420,0,0,0
120,15688029600598372724,317574,318649,38215,381459,58686,204930,206005,37596,3143887,37962,317431,202384,145254,116992,103477,0,0,0
121,4809550328998405781,218970,220045,37387,376311,57894,105812,106887,36360,2953414,37734,306786,197165,142477,114805,101943,0,0,0
122,16673457341036131784,389206,390281,41374,492453,75762,299940,301015,41374,3205692,38040,338956,222018,164081,134601,120938,0,0,0
123,4709207850192104690,447726,448801,41192,499655,76870,369909,370984,41192,3183127,38204,334983,221091,164055,135467,122210,0,0,0
124,14987279176759560827,206927,208002,38360,385645,59330,131850,132925,37806,3010014,37544,312763,200400,144270,116477,103534,0,0,0
125,12455518455682061704,392278,393353,41054,493454,75916,310146,311221,41054,3143731,38100,331287,218510,162380,134482,120685,0,0,0
126,16166164817434319113,350598,351673,39343,400166,61564,254253,255328,39229,3022017,37645,307644,198904,145355,118587,105805,0,0,0
127,12283571664785387763,484564,485639,42247,516633,79482,426562,427637,42247,3134667,38208,335058,222150,165757,138044,124826,0,0,0
128,10640180730474882598,276412,277487,38524,383994,59076,165251,166326,38041,3035768,37976,310302,199232,143638,116191,103386,0,0,0
129,3812952749990704472,405278,406353,40442,480311,73894,327208,328283,40442,3076910,38208,324342,213572,158428,131750,118771,0,0,0
130,8985774340266909244,511023,512098,42515,533195,82030,476730,477805,42515,3167283,38206,334988,223416,167877,140164,126905,0,0,0
131,3906820549000075022,167504,168579,37811,309751,47654,101075,102150,37130,2937851,37132,300891,188397,132078,104356,91201,0,0,0
132,6751380587087841664,541480,542555,42649,534690,82260,518015,519090,42649,3178071,38206,336719,224554,168443,140472,127602,0,0,0
133,7488812991156845180,513388,514463,42257,521976,80304,475706,476781,42257,3127924,38204,327834,219049,164468,137943,125177,0,0,0
134,7821847056005621223,27655,28729,19239,78273,12042,17482,18556,17398,1533146,12310,146522,84416,52978,37055,30030,0,0,0
135,12217153512566328451,466850,467925,41508,496002,76308,390365,391440,41508,3139038,38150,326481,215639,160523,133454,120690,0,0,0
136,8806254138228182290,487830,488905,42221,516893,79522,437007,438082,42221,3167423,38202,330005,219059,164819,137971,124860,0,0,0
137,12733111632922560012,494996,496071,42226,522808,80432,449146,450221,42226,3206128,38208,332192,220706,165187,137890,124872,0,0,0
138,2501735311241351195,425629,426704,41206,482118,74172,327759,328834,41206,3129863,38114,324245,214573,159761,131761,118955,0,0,0
139,12960487387062707668,270643,271718,38468,397150,61100,210674,211749,37939,2996265,37540,312736,200971,145357,117527,104419,0,0,0
140,17814072604886395448,426059,427134,41662,498381,76674,337737,338812,41662,3183969,38198,333138,219797,163194,135223,122007,0,0,0
141,11285652319209009385,415917,416992,40618,475202,73108,357833,358908,40601,3102149,38112,319054,210883,156973,130690,117434,0,0,0
142,11014088713147922632,478869,479944,42442,514852,79208,421480,422555,42442,3239463,38192,338347,223421,165735,138055,124536,0,0,0
143,406463308745511163,407214,408289,41533,499811,76894,326546,327621,41515,3204368,38062,334146,220172,162824,134932,121599,0,0,0
144,17534504696866617849,422341,423416,41399,509730,78420,332768,333843,41399,3109281,38180,337102,222516,165144,137143,124234,0,0,0
145,13198556944138723303,424797,425872,41902,506454,77916,329949,331024,41902,3046852,38198,331676,219390,163461,135496,122345,0,0,0
146,5770311749891783580,138516,139591,34449,275665,42410,74514,75589,32798,2746879,34379,284943,176676,122548,95147,82521,0,0,0
147,15785516674910074395,86270,87336,27450,190970,29380,43925,44991,25403,2482577,27487,247477,148888,99607,75379,63283,0,0,0
148,13721158072033547493,488112,489187,41895,506012,77848,431401,432476,41895,3186825,38202,334194,220834,164666,135830,122719,0,0,0
149,17324773251166613531,77853,78917,27033,158067,24318,43970,45034,25495,2331880,23410,227803,134803,89107,65662,54047,0,0,0
150,562156214216318010,538100,539175,42443,531453,81762,518893,519968,42443,3072211,38206,324410,217804,164530,138081,125792,0,0,0
151,9961359178523252267,443390,444465,39725,455767,70118,379424,380499,38917,3121423,37895,328941,214226,156914,128391,115053,0,0,0
152,15648529573482083226,44781,45856,20889,101829,15666,26740,27815,19532,1807465,15619,174603,101355,64609,46409,37456,0,0,0
153,5720364722347541976,441168,442243,41187,506181,77874,355346,356421,41187,3113531,38190,330423,219101,163417,135707,122691,0,0,0
154,1849194904166726695,546144,547219,42782,550615,84710,526120,527195,42782,3272701,38208,339892,226929,171043,143033,130054,0,0,0
155,1710160193251210002,466737,467812,42062,505752,77808,400476,401551,42062,3088063,38176,331829,219209,163528,136496,123120,0,0,0
156,9689031059872497038,359628,360703,40103,452933,69682,254525,255600,40054,3114993,38182,330514,214614,157067,128822,115482,0,0,0
157,16465286939974686827,221593,222668,38483,407979,62766,144212,145287,37884,3046141,38018,307495,199402,145929,119513,106801,0,0,0
158,4411765945603959182,538186,539261,42725,529464,81456,511994,513069,42725,3204174,38204,337904,224191,167342,139586,126328,0,0,0
159,11070633886158185775,454248,455323,41444,507390,78060,377696,378771,41444,3182588,38208,331619,220376,164032,136277,122937,0,0,0
160,5918379027175537722,474417,475492,41639,476619,73326,409718,410793,41639,3144689,37983,328932,215496,158943,131304,118442,0,0,0
161,17073609758125032840,241527,242602,38301,354341,54514,122777,123852,37642,3012547,37237,307183,195495,139591,111659,98427,0,0,0
162,10020226892100438581,476049,477124,42298,511004,78616,421644,422719,42298,3144632,38208,329120,218649,163792,136711,123493,0,0,0
163,9526698960501645321,411961,413036,41238,493597,75938,311293,312368,41238,3112342,38174,334191,219235,162272,134295,120779,0,0,0
164,2533986941498802589,83960,85035,31909,221546,34084,44000,45075,28894,2626638,30452,260845,158836,107899,82240,69615,0,0,0
165,17485614095053154515,533432,534507,42484,533845,82130,509021,510096,42484,3226970,38192,340360,226147,169632,140367,127457,0,0,0
166,11103865399866589307,307704,308779,40157,437671,67334,217696,218771,40121,3041363,38044,317932,207197,152162,124668,111570,0,0,0
167,16623614656953444986,318922,319997,40920,482482,74228,188821,189896,40920,3137734,38111,330346,216735,160148,132510,119004,0,0,0
168,17401659601693164384,555116,556191,42855,547417,84218,539018,540093,42855,3179162,38208,332533,223653,168514,141569,128658,0,0,0
169,11049669878503412000,510669,511744,42535,528281,81274,469370,470445,42535,3213096,38182,335229,223628,167610,139900,127090,0,0,0
170,8244986667504475031,343088,344163,40654,453843,69822,239949,241024,40654,3063116,37570,321886,210619,154801,126905,114060,0,0,0
171,1788616718346399265,162033,163108,31023,241722,37188,84805,85880,27805,2707215,31446,274880,167594,114268,87930,75074,0,0,0
172,12396976212410918861,277507,278582,39136,441974,67996,170074,171149,38999,3074843,38015,317155,206915,151869,124897,112045,0,0,0
173,16873111731406148719,488487,489562,42233,498940,76760,440106,441181,42233,3143175,38200,331069,218447,162361,134607,121629,0,0,0
174,4371287800040429725,487933,489008,41917,515060,79240,447894,448969,41917,3155771,38190,333091,220903,164905,137153,124098,0,0,0
175,8209346093335103303,485498,486573,42139,516503,79462,431915,432990,42139,3227840,38198,341949,225231,167096,138551,125293,0,0,0
176,14255313208860801240,450150,451225,41648,490932,75528,386273,387348,41648,3149201,38184,326385,215276,160177,133055,119944,0,0,0
177,18351372482318773415,357481,358556,40618,474708,73032,267136,268211,40601,3201726,38068,331359,216579,159442,131526,117741,0,0,0
178,5333569916276211838,304199,305274,40709,456053,70162,190399,191474,40692,3093403,38106,319030,209269,154792,127343,114479,0,0,0
