frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
109,10816362873225505153,13562934150647224734,8678,9741,11949,1089870,12818897,1153,14989,0,0,0,0,14989,1024283,623424,15568423,256867,12562030,0,0,0,0,0
110,1504602427833427066,17494325283045092023,179508,180583,41437,2611687,25452726,47491,617383,0,0,0,0,617383,41447991,11557312,81111153,17986917,7465809,0,0,0,0,0
111,14630946136997394707,7499687124249330335,233620,234695,42289,2696148,27015144,62310,810030,0,0,0,0,810030,54349386,15020480,99123447,22025796,4989348,0,0,0,0,0
112,13716164394356899035,6840346086988944479,127932,129007,41199,2695912,23525970,39271,510523,0,0,0,0,510523,34291283,8256448,68810812,15192749,8333221,0,0,0,0,0
113,2401420817805416216,15473241626242985348,47396,48471,39465,2966723,29000608,17830,231790,0,0,0,0,231790,15643368,3102144,50752308,6866093,22134515,0,0,0,0,0
114,17693655737688215379,9034970174342985988,224475,225550,41524,2686519,25166011,54495,708435,0,0,0,0,708435,47534279,14435200,89863533,20103720,5056051,6240,0,0,0,0
115,10293853982205095098,2548786864805232525,23131,24194,24570,2395554,24899511,4610,59930,0,0,0,0,59930,4070768,1548416,32938819,1515449,23384062,0,0,0,0,0
116,11797299450381563433,4981985418313192895,35262,36327,34863,2780976,29786770,8865,115245,0,0,0,0,115245,7817823,2324928,42745360,2949843,26836927,0,0,0,0,0
117,3019307246554859894,2467476317066320362,206391,207466,41623,2662877,25568374,53108,690404,0,0,0,0,690404,46334522,13277824,87885220,19543108,6024538,728,0,0,0,0
118,3945648719323444312,8340174509884755781,42821,43895,39084,2975730,29926936,13598,176774,0,0,0,0,176774,11960806,2809280,47711836,4861493,25065443,0,0,0,0,0
119,3571740835977137612,8568961206573942290,39116,40189,37228,2912165,29697096,12435,161655,0,0,0,0,161655,10937615,2572096,46156200,4531553,25165543,0,0,0,0,0
120,15688029600598372724,5720259538154688569,54852,55927,36258,2926823,25644580,17931,233103,0,0,0,0,233103,15703571,3579328,47890560,7477418,18167162,0,0,0,0,0
121,4809550328998405781,3447708533526052803,36109,37173,35437,2859086,30668378,9367,121771,0,0,0,0,121771,8258445,2379072,44200418,3175874,27492504,0,0,0,0,0
122,16673457341036131784,14298680398766734600,99158,100233,40866,2838537,23009519,29672,385736,0,0,0,0,385736,25938822,6414912,58242656,11835538,11173981,0,0,0,0,0
123,4709207850192104690,18417227130193309285,149693,150768,40654,2767985,24337794,39916,518908,0,0,0,0,518908,34849672,9649152,71645257,15563548,8774246,0,0,0,0,0
124,14987279176759560827,10079778277595310005,37007,38071,36304,2905033,31337371,11322,147186,0,0,0,0,147186,9966346,2436544,46681598,4085315,27252056,0,0,0,0,0
125,12455518455682061704,8593739427660388554,127761,128836,40334,2805560,25185069,32332,420316,0,0,0,0,420316,28255760,8245504,64532227,12505285,12672452,7332,2560,0,0,0
126,16166164817434319113,16039466851637927744,74451,75526,37779,2693455,21789729,23598,306774,0,0,0,0,306774,20630350,4833664,49984977,9952709,11837020,0,0,0,0,0
127,12283571664785387763,3877277643710428228,191330,192405,41798,2683807,25378821,49209,639717,0,0,0,0,639717,42947073,12313920,83365419,18135312,7243509,0,0,0,0,0
128,10640180730474882598,15655919395236699445,40784,41857,36379,2841509,25731719,14349,186537,0,0,0,0,186537,12588927,2678848,43877382,5696431,20035288,0,0,0,0,0
129,3812952749990704472,2212017093938771090,169200,170275,39626,2692203,23876866,35606,462878,0,0,0,0,462878,31090904,10897600,68597199,14112345,9764521,0,0,0,0,0
130,8985774340266909244,3447487132174722669,204317,205392,42127,2702201,26738699,56197,730561,0,0,0,0,730561,49033023,13145088,91661138,20109050,6629649,0,0,0,0,0
131,3906820549000075022,12607135354281993224,34164,35227,34992,2865036,32625554,8645,112385,0,0,0,0,112385,7632599,2254528,45412709,2708810,29916744,0,0,0,0,0
132,6751380587087841664,6863978732371042631,247476,248551,42374,2683999,28134470,65791,855283,0,0,0,0,855283,57384379,15907264,104152486,22840909,5290194,3367,0,0,0,0
133,7488812991156845180,5773145602443517632,221991,223066,41945,2655270,26549185,56530,734890,0,0,0,0,734890,49318698,14276224,92841322,20404839,6141174,3172,0,0,0,0
134,7821847056005621223,191532722549337480,13085,14148,15566,1471826,16711721,1535,19955,0,0,0,0,19955,1366001,905472,20470586,273689,16438032,0,0,0,0,0
135,12217153512566328451,12911349674356922468,140014,141089,40924,2730979,25072762,41827,543751,0,0,0,0,543751,36517403,9029696,73391764,16073135,8998067,1560,0,0,0,0
136,8806254138228182290,12141048397107289109,197954,199029,41787,2773511,28725359,51960,675480,0,0,0,0,675480,45354348,12737856,89632861,18630391,10093876,1092,0,0,0,0
137,12733111632922560012,5939830085542312002,206941,208016,41873,2733330,25872301,52989,688857,0,0,0,0,688857,46235553,13313024,88196081,19444503,6427798,0,0,0,0,0
138,2501735311241351195,3322711624836827434,128747,129822,40736,2704662,21655777,33832,439816,0,0,0,0,439816,29547310,8308608,62257093,13558298,8097479,0,0,0,0,0
139,12960487387062707668,18328035585533126377,118191,119266,36752,2813212,30306315,23150,300950,0,0,0,0,300950,20257770,7633024,61047073,8589451,21716864,0,0,0,0,0
140,17814072604886395448,1215862796048831778,119451,120526,41193,2774794,22919663,35349,459537,0,0,0,0,459537,30877639,7713664,64326953,13708045,9211618,0,0,0,0,0
141,11285652319209009385,11557817986015518936,173483,174558,40159,2736846,26105651,39438,512694,0,0,0,0,512694,34436558,11171712,74490926,15326805,10778846,0,0,0,0,0
142,11014088713147922632,847894995652931219,170086,171161,41888,2763752,24294712,47652,619476,0,0,0,0,619476,41587650,10954304,79642306,17769050,6525662,0,0,0,0,0
143,406463308745511163,14319036669596667563,153711,154786,40633,2781273,22717929,34875,453375,0,0,0,0,453375,30458337,9906304,65904476,14207024,8510905,0,0,0,0,0
144,17534504696866617849,14315662837512484705,102149,103224,40899,2768433,25427610,34189,444457,0,0,0,0,444457,29877159,6606336,64720437,13254124,12153466,20020,0,0,0,0
145,13198556944138723303,15078950454953880413,91401,92476,41639,2708845,25264291,33841,439933,0,0,0,0,439933,29580837,5918464,63514076,12864982,12399309,0,0,0,0,0
146,5770311749891783580,12008452308575766238,30707,31781,31591,2667138,28997371,6454,83902,0,0,0,0,83902,5704192,2033984,39434276,1946100,27051271,0,0,0,0,0
147,15785516674910074395,11053004304439769334,22882,23944,24537,2422533,25101661,3838,49894,0,0,0,0,49894,3398720,1532416,32479867,1045759,24055902,0,0,0,0,0
148,13721158072033547493,15541261378078459544,188567,189642,41349,2726179,25131418,49272,640536,0,0,0,0,640536,42994250,12137088,83030284,18262088,6868238,1092,0,0,0,0
149,17324773251166613531,9946066183996860796,22219,23281,23844,2260072,24646141,3695,48035,0,0,0,0,48035,3272867,1489984,31692908,988845,23657296,0,0,0,0,0
150,562156214216318010,245996296028465657,272795,273870,41959,2584111,27982773,65517,851721,0,0,0,0,851721,57140551,17527680,105277074,22823684,5159089,0,0,0,0,0
151,9961359178523252267,18309433531818418401,164961,166036,38178,2702937,23763207,42153,547989,0,0,0,0,547989,36780159,10626304,73910785,16337672,7425535,0,0,0,0,0
152,15648529573482083226,7851261184791914452,14571,15634,16719,1727145,18613296,2104,27352,0,0,0,0,27352,1866436,1000576,23224172,526929,18086367,0,0,0,0,0
153,5720364722347541976,15850302087332571123,123041,124116,40824,2727402,24040848,36394,473122,0,0,0,0,473122,31786898,7943424,66539396,14250873,9789975,0,0,0,0,0
154,1849194904166726695,626176201204369175,257310,258385,42541,2773282,28662946,68719,893347,0,0,0,0,893347,59938307,16536640,107953716,23200034,5462912,0,0,0,0,0
155,1710160193251210002,18142564493873951286,197759,198834,41534,2696162,26834119,46491,604383,0,0,0,0,604383,40586871,12725376,82884062,16924557,9908834,728,0,0,0,0
