frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
69,14774274864356891453,3644105131579224076,202885,203960,41479,3178190,58726434,53969,701597,0,0,0,0,701597,47172073,13053440,122171616,18792930,34811556,5121948,0,0,0,0
70,15893644149008283858,11402885097641880637,62475,63549,40150,3152720,48958897,25395,330135,0,0,0,0,330135,22270053,4067136,78488956,9439417,34428641,5090839,0,0,0,0
71,7865834665772639287,10652884563243312165,125116,126191,40815,3116373,53343654,37533,487929,0,0,0,0,487929,32848751,8076224,97425817,13607022,34633911,5102721,0,0,0,0
72,3982075187632817751,15468753295786042477,61373,62447,40755,3170138,49351198,26832,348816,0,0,0,0,348816,23528674,3996608,80087373,9607208,34625799,5118191,0,0,0,0
73,8257608772007586738,15060440126870394208,59122,60197,40724,3105461,48349821,24276,315588,0,0,0,0,315588,21300968,3852608,76649582,8633274,34599539,5117008,0,0,0,0
74,14977254156259156003,3920327573652986140,185064,186139,41144,3104902,57437107,49707,646191,0,0,0,0,646191,43456231,11912896,115952280,17601285,34718814,5117008,0,0,0,0
75,1589424333137760772,9471724134185867919,108654,109729,39337,3140075,51376481,31720,412360,0,0,0,0,412360,27772602,7022656,89351151,12143274,34196149,5037058,0,0,0,0
76,9774658082113931331,1081553943595848751,47599,48674,39055,3088268,46621224,20438,265694,0,0,0,0,265694,17943120,3115136,70806803,7505381,34060182,5055661,0,0,0,0
77,2885753135356757878,8144404064137559034,55029,56103,39520,2951450,46642076,20354,264602,0,0,0,0,264602,17873284,3590592,71096922,7363785,34219757,5058534,0,0,0,0
78,18228366790075488506,6042191629102714783,23805,24869,25256,2438344,31803954,5065,65845,0,0,0,0,65845,4479293,1591616,40338463,1525485,25952056,4326413,0,0,0,0
79,6705742309440081002,4560022252792973950,190393,191468,41697,3157116,58687018,53796,699348,0,0,0,0,699348,47024250,12253952,121164033,18698836,34865311,5122871,0,0,0,0
80,4183829670304994346,11429584479178068259,195158,196233,40587,3262413,56970966,47059,611767,0,0,0,0,611767,41145325,12558912,113978203,17292184,34575346,5103436,0,0,0,0
81,7971977087052089671,12943656896339611047,3310,4181,8189,693363,7183735,521,6773,0,0,0,0,6773,463359,267584,8616230,140348,5084612,1958775,0,0,0,0
82,14015440443514644708,15168746826461742152,154194,155269,40533,3113916,53195610,37662,489606,0,0,0,0,489606,32959524,9937216,99246799,13544427,34539622,5111561,0,0,0,0
83,14813477150930179670,10654782508927386569,75251,76326,40515,3077652,50861278,30508,396604,0,0,0,0,396604,26727272,4884864,85591581,11204518,34554767,5101993,0,0,0,0
84,277419965220824983,236082523621049125,10350,11415,12667,1374820,17757454,1944,25272,0,0,0,0,25272,1720706,730560,21596207,632853,14058746,3065855,0,0,0,0
85,11433493891647338668,7759285439589208922,58020,59095,39523,3157268,47518926,22591,293683,0,0,0,0,293683,19822907,3782080,74320704,8223722,34205457,5089747,0,0,0,0
86,3927747151045147985,14326285596270872888,109091,110166,40608,3125361,53716650,38461,499993,0,0,0,0,499993,33655505,7050624,97588748,14021488,34583406,5111756,0,0,0,0
87,2490559828448180269,1274096174389150426,129482,130557,41478,3197079,56613440,47638,619294,0,0,0,0,619294,41657980,8355648,109865625,16679169,34811855,5122416,0,0,0,0
88,12310597241526767626,6169451773211654535,214607,215682,42287,3135296,61542221,64778,842114,0,0,0,0,842114,56597242,13803648,135120694,21420191,34995753,5126277,0,0,0,0
89,4670254777196922682,8977123415404240798,248979,250054,42130,3153720,61629516,64251,835263,0,0,0,0,835263,56136223,16003456,136965045,21543106,34960003,5126407,0,0,0,0
90,15825785085970787932,11761380677485834089,149977,151052,38453,3117436,53140373,37304,484952,0,0,0,0,484952,32629038,9667328,98592628,14298557,33854522,4987294,0,0,0,0
91,6764912390002647435,3014557965378192313,19645,20708,21728,2150612,28202785,3729,48477,0,0,0,0,48477,3303209,1325312,35003646,1040897,23137881,4024007,0,0,0,0
92,16983826796895888681,7536200890693945291,116653,117728,40692,3068269,52126724,33557,436241,0,0,0,0,436241,29385083,7534592,92155360,12418562,34605714,5102448,0,0,0,0
93,8088651020318966618,2194267367720589618,271300,272375,42071,3206155,62320141,66567,865371,0,0,0,0,865371,58153381,17432000,141153748,22248889,34944845,5126407,0,0,0,0
94,13415699180734816289,3732729425680382944,99792,100867,41158,3121703,52750529,35994,467922,0,0,0,0,467922,31512156,6455488,93881034,12933401,34713952,5103176,0,0,0,0
95,6279338252731032094,1887704006076891057,44910,45974,38443,3178418,45642649,18668,242684,0,0,0,0,242684,16397030,2942336,68198876,6793735,33813416,5035498,0,0,0,0
96,6897685065739299843,7531328504092341133,37004,38067,37185,3040988,42184623,12035,156455,0,0,0,0,156455,10610561,2436288,58309645,3861299,33337590,4985734,0,0,0,0
97,16233122624032489404,8039177800558608082,86306,87381,38975,3092428,49093213,26305,341965,0,0,0,0,341965,23052601,5592384,80869601,10005281,34055671,5032261,0,0,0,0
98,3661284184810650330,17851859659918538447,112798,113873,40987,3217374,53571921,38691,502983,0,0,0,0,502983,33859917,7287872,97978071,13765999,34689746,5116176,0,0,0,0
99,7689340520339025854,8361813761871384818,181518,182593,41383,3252942,58217081,51714,672282,0,0,0,0,672282,45206980,11685952,118404338,18303493,34788169,5125419,0,0,0,0
100,3960091624786604190,7569933000661292823,84621,85696,40318,3062867,51816505,32878,427414,0,0,0,0,427414,28789670,5484544,89193904,12224862,34489650,5101993,0,0,0,0
101,4670656927620931667,14181596803173254391,49707,50782,38828,3096146,46071818,19329,251277,0,0,0,0,251277,16975621,3250048,69432461,7045389,33990463,5035966,0,0,0,0
