frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
111,14630946136997394707,7499687124249330335,2189,3241,4103,778329,5129696,228,2964,715149,41658,673491,49261965,2964,210444,207424,55591961,0,0,5129696,0,0,0,0
112,13716164394356899035,6840346086988944479,2200,3101,4019,754059,4989660,208,2704,706439,37637,668802,48669017,2704,191984,198464,54807203,0,0,4989660,0,0,0,0
113,2401420817805416216,15473241626242985348,2038,3051,3973,773447,4910802,194,2522,688474,28315,660159,47448076,2522,179062,195264,53510624,0,0,4910802,0,0,0,0
114,17693655737688215379,9034970174342985988,2186,3236,4120,779548,4849884,208,2704,710122,41479,668643,48915460,2704,191984,207104,54948100,0,0,4849884,0,0,0,0
115,10293853982205095098,2548786864805232525,1706,2595,3602,705527,3931668,117,1521,510942,14151,496791,35226696,1521,107991,166080,40141564,0,0,3931668,0,0,0,0
116,11797299450381563433,4981985418313192895,1901,2880,3811,743565,4746859,161,2093,646816,20114,626702,44590076,2093,148603,184320,50417234,0,0,4746859,0,0,0,0
117,3019307246554859894,2467476317066320362,2197,3163,4079,761407,4866056,210,2730,710620,40974,669646,48950832,2730,193830,202432,54978636,0,0,4866056,0,0,0,0
118,3945648719323444312,8340174509884755781,2009,3020,3944,770882,5025683,191,2483,683084,24530,658554,47083736,2483,176293,193280,53253818,0,0,5025683,0,0,0,0
119,3571740835977137612,8568961206573942290,1953,2985,3911,759248,4784208,177,2301,673239,23520,649719,46406451,2301,163371,191040,52308229,0,0,4784208,0,0,0,0
120,15688029600598372724,5720259538154688569,2042,3007,3934,785792,4682483,169,2197,665069,29577,635492,45830607,2197,155987,192448,51651251,0,0,4682483,0,0,0,0
121,4809550328998405781,3447708533526052803,1990,2880,3811,743726,4735120,160,2080,648173,19213,628960,44685511,2080,147680,184320,50500168,0,0,4735120,0,0,0,0
122,16673457341036131784,14298680398766734600,2132,3111,4028,775084,4940884,213,2769,700743,35135,665608,48280997,2769,196599,199104,54396696,0,0,4940884,0,0,0,0
123,4709207850192104690,18417227130193309285,2167,3120,4038,771886,4928677,206,2678,703231,37150,666081,48448639,2678,190138,199680,54543058,0,0,4928677,0,0,0,0
124,14987279176759560827,10079778277595310005,1979,2946,3874,755827,4886544,174,2262,661416,21049,640367,45595606,2262,160602,188544,51590997,0,0,4886544,0,0,0,0
125,12455518455682061704,8593739427660388554,2117,3146,4063,762513,4927624,209,2717,697153,34395,662758,48034767,2717,192907,201344,54123218,0,0,4927624,0,0,0,0
126,16166164817434319113,16039466851637927744,2066,2985,3911,752587,4796480,178,2314,683443,32936,650507,47091695,2314,164294,191040,53000007,0,0,4796480,0,0,0,0
127,12283571664785387763,3877277643710428228,2154,3128,4043,756427,4840992,216,2808,708010,38699,669311,48775292,2808,199368,200192,54776314,0,0,4840992,0,0,0,0
128,10640180730474882598,15655919395236699445,1911,2925,3854,758486,4846361,170,2210,669291,27445,641846,46126189,2210,156910,187200,52079000,0,0,4846361,0,0,0,0
129,3812952749990704472,2212017093938771090,2439,3298,4127,769907,4906382,194,2522,697368,37106,660262,48044180,2522,179062,211072,54114730,0,0,4906382,0,0,0,0
130,8985774340266909244,3447487132174722669,2223,3223,4087,765347,5124964,220,2860,713838,41143,672695,49172536,2860,203060,206272,55476266,0,0,5124964,0,0,0,0
131,3906820549000075022,12607135354281993224,1866,2903,3833,753424,4793126,165,2145,655724,18419,637305,45208118,2145,152295,185792,51096588,0,0,4793126,0,0,0,0
132,6751380587087841664,6863978732371042631,2078,3128,4043,759079,4974515,221,2873,712619,40340,672279,49090031,2873,203983,200192,55231843,0,0,4974515,0,0,0,0
133,7488812991156845180,5773145602443517632,2262,3200,4114,760708,4836520,213,2769,709511,40998,668513,48874263,2769,196599,204800,54877004,0,0,4836520,0,0,0,0
