frame,frame_hash,stream_checksum,teps,scoring_calls,bound_checks,compact_lookups,dual_solver_ops,dual_updates,dual_group_solves,oracle_candidates,oracle_w1_candidates,oracle_w2_candidates,oracle_primitive_ops,dual_witness_candidates,dual_witness_primitive_ops,score_primitive_ops,total_primitive_ops,ops_w1,ops_w2,ops_w3,structural_checks,word_mismatch,metric_mismatch,tie_mismatch
75,1589424333137760772,9471724134185867919,38569,39633,39337,3096553,34112559,5146,66898,285043,285043,0,19097881,66898,4615962,2536512,63498804,0,34112559,0,0,0,0,0
76,9774658082113931331,1081553943595848751,38269,39331,39055,3045682,34057010,5049,65637,195123,195123,0,13073241,65637,4528953,2517184,57261125,0,34057010,0,0,0,0,0
77,2885753135356757878,8144404064137559034,38766,39830,39520,2909292,34214466,5171,67223,184339,184339,0,12350713,67223,4638387,2549120,56701498,0,34214466,0,0,0,0,0
78,18228366790075488506,6042191629102714783,23689,24753,25256,2396453,25931698,2323,30199,41920,41920,0,2808640,30199,2083731,1584192,34829970,0,25931698,0,0,0,0,0
79,6705742309440081002,4560022252792973950,41154,42216,41697,3112704,34660951,5992,77896,442107,442107,0,29621169,77896,5374824,2701824,75513169,0,34660951,0,0,0,0,0
80,4183829670304994346,11429584479178068259,39931,40995,40587,3217002,34260629,5581,72553,398185,398185,0,26678395,72553,5006157,2623680,71826450,0,34260629,0,0,0,0,0
81,7971977087052089671,12943656896339611047,3310,4181,8189,666315,4840277,253,3289,3754,3754,0,251518,3289,226941,267584,6260824,0,4840277,0,0,0,0,0
82,14015440443514644708,15168746826461742152,39875,40938,40533,3069650,34269859,5537,71981,314471,314471,0,21069557,71981,4966689,2620032,66036320,0,34269859,0,0,0,0,0
83,14813477150930179670,10654782508927386569,39849,40911,40515,3035392,34547825,5527,71851,283996,283996,0,19027732,71851,4957719,2618304,64227487,0,34547825,0,0,0,0,0
84,277419965220824983,236082523621049125,10350,11415,12667,1339593,13927017,882,11466,19195,19195,0,1286065,11466,791154,730560,18087056,0,13927017,0,0,0,0,0
85,11433493891647338668,7759285439589208922,38775,39839,39523,3113172,34061287,5185,67405,215259,215259,0,14422353,67405,4650945,2549696,58836976,0,34061287,0,0,0,0,0
86,3927747151045147985,14326285596270872888,40000,41062,40608,3082956,34574644,5557,72241,349847,349847,0,23439749,72241,4984655,2627968,68750580,0,34572499,2145,0,0,0,0
87,2490559828448180269,1274096174389150426,40909,41972,41478,3153680,34732880,5899,76687,418593,418593,0,28045731,76687,5291429,2686208,73951406,0,34731788,1092,0,0,0,0
88,12310597241526767626,6169451773211654535,41817,42879,42287,3092894,34993439,6299,81887,506960,506960,0,33966320,81887,5650203,2744256,80489399,0,34993439,0,0,0,0,0
89,4670254777196922682,8977123415404240798,41686,42750,42130,3109004,34604765,6190,80470,487176,487176,0,32640792,80470,5552430,2736000,78685121,0,34604765,0,0,0,0,0
90,15825785085970787932,11761380677485834089,37605,38668,38436,3072516,33541014,4868,63284,328905,328905,0,22036635,63284,4366596,2474752,65529949,0,33541014,0,0,0,0,0
91,6764912390002647435,3014557965378192313,19645,20708,21728,2108661,23061480,1878,24414,27672,27672,0,1854024,24414,1684566,1325312,30055771,0,23061480,0,0,0,0,0
92,16983826796895888681,7536200890693945291,40042,41106,40692,3025305,34527337,5595,72735,297765,297765,0,19950255,72735,5018741,2630784,65193114,0,34526245,1092,0,0,0,0
93,8088651020318966618,2194267367720589618,41687,42750,42071,3162793,34813402,6200,80600,495775,495775,0,33216925,80600,5561400,2736000,79532591,0,34813402,0,0,0,0,0
94,13415699180734816289,3732729425680382944,40651,41713,41158,3079489,34706555,5774,75062,315503,315503,0,21138701,75062,5179278,2669632,66814813,0,34706555,0,0,0,0,0
95,6279338252731032094,1887704006076891057,37614,38677,38443,3134652,33724626,4873,63349,178721,178721,0,11974307,63349,4371081,2475328,55718437,0,33724626,0,0,0,0,0
96,6897685065739299843,7531328504092341133,36269,37332,37185,2998314,33337590,4550,59150,105850,105850,0,7091950,59150,4081350,2389248,49935637,0,33337590,0,0,0,0,0
97,16233122624032489404,8039177800558608082,38180,39243,38975,3049018,33999290,5020,65260,245404,245404,0,16442068,65260,4502940,2511552,60543843,0,33999290,0,0,0,0,0
98,3661284184810650330,17851859659918538447,40367,41429,40987,3172982,34462805,5708,74204,333566,333566,0,22348922,74204,5120102,2651456,67797254,0,34461713,1092,0,0,0,0
99,7689340520339025854,8361813761871384818,40801,41865,41383,3208552,34584342,5844,75972,425480,425480,0,28507160,75972,5242068,2679360,74262865,0,34584342,0,0,0,0,0
100,3960091624786604190,7569933000661292823,39633,40697,40318,3020568,34481655,5455,70915,303766,303766,0,20352322,70915,4893135,2604608,65392606,0,34481655,0,0,0,0,0
101,4670656927620931667,14181596803173254391,38025,39087,38828,3052522,33884825,4986,64818,180525,180525,0,12095175,64818,4472442,2501568,56045360,0,33884825,0,0,0,0,0
102,9300506978581312426,1350367836935304870,40034,41096,40639,3025433,34515754,5613,72969,334659,334659,0,22422153,72969,5034887,2630144,67669010,0,34514662,1092,0,0,0,0
103,17640199488338210563,802440088876334594,40091,41155,40736,3112839,34417370,5622,73086,349116,349116,0,23390772,73086,5042934,2633920,68638571,0,34417370,0,0,0,0,0
104,7528972887321522470,8947634756366866687,40330,41392,40904,3087993,34489507,5662,73606,328169,328169,0,21987323,73606,5078814,2649088,67333629,0,34489507,0,0,0,0,0
105,3331301268401570949,11179104202945140617,38385,39448,39164,3082769,34046415,5107,66391,291762,291762,0,19548054,66391,4580979,2524672,63822053,0,34046415,0,0,0,0,0
106,9634326897132195769,9737573833491439735,39939,41001,40597,3023525,34430669,5543,72059,376163,376163,0,25202921,72059,4972071,2624064,70293847,0,34430669,0,0,0,0,0
107,5564694400914521148,13192599877808201160,40709,41771,41298,3179736,34678787,5809,75517,400726,400726,0,26848642,75517,5210673,2673344,72632480,0,34678787,0,0,0,0,0
108,7364351477624240731,11515980236384986636,41355,42418,41879,3210521,34810178,6075,78975,458512,458512,0,30720304,78975,5449275,2714752,76946909,0,34810178,0,0,0,0,0
109,10816362873225505153,13562934150647224734,8678,9741,11949,1091291,12752402,778,10114,9199,9199,0,616333,10114,697866,623424,15793265,0,12752402,0,0,0,0,0
110,1504602427833427066,17494325283045092023,40862,41926,41437,3003891,34690825,5869,76297,420913,420913,0,28201171,76297,5264493,2683264,73885081,0,34690825,0,0,0,0,0
111,14630946136997394707,7499687124249330335,41870,42933,42289,3156859,34933197,6293,81809,499825,499825,0,33488275,81809,5644821,2747712,80013153,0,34933197,0,0,0,0,0
112,13716164394356899035,6840346086988944479,40602,41665,41199,3071373,34677825,5801,75413,368410,368410,0,24683470,75413,5203497,2666560,70343924,0,34677825,0,0,0,0,0
113,2401420817805416216,15473241626242985348,38712,39774,39465,3103826,34130811,5183,67379,184773,184773,0,12379791,67379,4649151,2545536,56848580,0,34130811,0,0,0,0,0
114,17693655737688215379,9034970174342985988,40991,42053,41524,3141574,34613826,5906,76778,461225,461225,0,30902075,76778,5297786,2691392,76688177,0,34607586,6240,0,0,0,0
115,10293853982205095098,2548786864805232525,23018,24081,24570,2412441,25305982,2229,28977,47064,47064,0,3153288,28977,1999413,1541184,34436878,0,25305982,0,0,0,0,0
116,11797299450381563433,4981985418313192895,33815,34877,34863,2832487,32213051,4012,52156,84119,84119,0,5635973,52156,3598764,2232128,46547266,0,32213051,0,0,0,0,0
117,3019307246554859894,2467476317066320362,41072,42135,41623,3088943,34724560,5977,77701,449970,449970,0,30147990,77701,5361395,2696640,76061151,0,34723832,728,0,0,0,0
118,3945648719323444312,8340174509884755781,38300,39363,39084,3071710,34063679,5062,65806,137210,137210,0,9193070,65806,4540614,2519232,53427389,0,34063679,0,0,0,0,0
119,3571740835977137612,8568961206573942290,36317,37381,37228,2998106,33296055,4613,59969,125725,125725,0,8423575,59969,4137861,2392384,51285209,0,33296055,0,0,0,0,0
120,15688029600598372724,5720259538154688569,35285,36347,36258,3094944,32720714,4299,55887,196899,196899,0,13192233,55887,3856203,2326208,55226560,0,32720714,0,0,0,0,0
121,4809550328998405781,3447708533526052803,34419,35483,35437,2907246,32455696,4122,53586,89695,89695,0,6009565,53586,3697434,2270912,47376290,0,32455696,0,0,0,0,0
122,16673457341036131784,14298680398766734600,40235,41298,40866,3157457,34538933,5651,73463,294290,294290,0,19717430,73463,5068947,2643072,65166705,0,34538933,0,0,0,0,0
123,4709207850192104690,18417227130193309285,40002,41064,40654,3134768,34553974,5562,72306,366355,366355,0,24545785,72306,4989114,2628096,69892391,0,34553974,0,0,0,0,0
124,14987279176759560827,10079778277595310005,35336,36400,36304,2960458,32922656,4354,56602,116051,116051,0,7775417,56602,3905538,2329600,49929973,0,32922656,0,0,0,0,0
125,12455518455682061704,8593739427660388554,39656,40718,40334,3092989,34336432,5469,71097,303506,303506,0,20334902,71097,4905823,2605952,65316432,0,34329100,7332,0,0,0,0
126,16166164817434319113,16039466851637927744,36901,37964,37779,2974342,33515144,4702,61126,248954,248954,0,16679918,61126,4217694,2429696,59854573,0,33515144,0,0,0,0,0
127,12283571664785387763,3877277643710428228,41267,42330,41798,3086571,34749429,6053,78689,423493,423493,0,28374031,78689,5429541,2709120,74390490,0,34749429,0,0,0,0,0
128,10640180730474882598,15655919395236699445,35416,36478,36379,2985746,32977256,4366,56758,155594,155594,0,10424798,56758,3916302,2334592,52675073,0,32977256,0,0,0,0,0
129,3812952749990704472,2212017093938771090,38979,40042,39626,3027141,34142459,5233,68029,321272,321272,0,21525224,68029,4694001,2562688,65991139,0,34142459,0,0,0,0,0
130,8985774340266909244,3447487132174722669,41689,42752,42127,3120717,34896719,6203,80639,474566,474566,0,31795922,80639,5564091,2736128,78155704,0,34896719,0,0,0,0,0
131,3906820549000075022,12607135354281993224,33947,35010,34992,2887499,32419764,4082,53066,84000,84000,0,5628000,53066,3661554,2240640,46872449,0,32419764,0,0,0,0,0
132,6751380587087841664,6863978732371042631,41917,42979,42374,3132015,34936681,6332,82316,516134,516134,0,34580978,82316,5679934,2750656,81122638,0,34933314,3367,0,0,0,0
